,White,Black,Asian,Hispanic
"..Under $2,500",21958,4039,2444,6804
"..$2,500 to $4,999",3262,721,216,776
"..$5,000 to $7,499",4296,794,346,968
"..$7,500 to $9,999",5494,1163,347,1207
"..$10,000 to $12,499",6509,1294,418,1240
"..$12,500 to $14,999",4447,821,248,802
"..$15,000 to $17,499",4797,916,283,1015
"..$17,500 to $19,999",3657,635,170,619
"..$20,000 to $22,499",4876,907,302,1118
"..$22,500 to $24,999",2985,589,147,490
"..$25,000 to $27,499",3783,711,236,636
"..$27,500 to $29,999",2337,468,111,331
"..$30,000 to $32,499",3876,745,271,683
"..$32,500 to $34,999",1733,284,85,239
"..$35,000 to $37,499",2906,496,211,449
"..$37,500 to $39,999",1534,291,91,206
"..$40,000 to $42,499",2901,544,280,378
"..$42,500 to $44,999",1162,187,56,134
"..$45,000 to $47,499",2105,333,93,262
"..$47,500 to $49,999",1163,188,90,139
"..$50,000 to $52,499",2170,355,173,260
"..$52,500 to $54,999",903,102,43,94
"..$55,000 to $57,499",1435,205,120,163
"..$57,500 to $59,999",722,83,58,45
"..$60,000 to $62,499",1537,222,138,207
"..$62,500 to $64,999",603,64,23,62
"..$65,000 to $67,499",1017,149,87,86
"..$67,500 to $69,999",509,58,33,36
"..$70,000 to $72,499",988,118,113,88
"..$72,500 to $74,999",413,58,37,22
"..$75,000 to $77,499",891,92,85,64
"..$77,500 to $79,999",295,36,27,24
"..$80,000 to $82,499",670,103,83,72
"..$82,500 to $84,999",315,41,15,40
"..$85,000 to $87,499",460,58,49,33
"..$87,500 to $89,999",261,27,16,17
"..$90,000 to $92,499",390,44,55,40
"..$92,500 to $94,999",200,17,21,8
"..$95,000 to $97,499",292,35,30,27
"..$97,500 to $99,999",209,9,32,12
"..$100,000 to $149,999",2782,319,371,207
"..$150,000 to $199,999",699,57,95,36
"..$200,000 to $249,999",304,5,26,16
"..$250,000 and above",329,34,51,24
