,White,Black,Asian,Hispanic
"..Under $2,500",13327,3560,1344,3838
"..$2,500 to $4,999",1831,375,159,466
"..$5,000 to $7,499",2047,529,213,623
"..$7,500 to $9,999",2721,813,186,692
"..$10,000 to $12,499",3635,837,271,1111
"..$12,500 to $14,999",2667,521,158,597
"..$15,000 to $17,499",3727,675,226,1033
"..$17,500 to $19,999",2924,476,215,736
"..$20,000 to $22,499",4211,678,258,1354
"..$22,500 to $24,999",2556,395,130,553
"..$25,000 to $27,499",3606,628,235,1014
"..$27,500 to $29,999",2247,308,136,461
"..$30,000 to $32,499",4033,620,259,1071
"..$32,500 to $34,999",1825,183,89,338
"..$35,000 to $37,499",3411,483,220,702
"..$37,500 to $39,999",1701,218,84,238
"..$40,000 to $42,499",3598,492,224,809
"..$42,500 to $44,999",1397,151,71,186
"..$45,000 to $47,499",2318,303,149,412
"..$47,500 to $49,999",1383,211,57,212
"..$50,000 to $52,499",3120,436,238,565
"..$52,500 to $54,999",1255,107,45,143
"..$55,000 to $57,499",1828,234,127,276
"..$57,500 to $59,999",934,112,47,98
"..$60,000 to $62,499",2477,252,158,365
"..$62,500 to $64,999",892,69,40,102
"..$65,000 to $67,499",1504,127,115,228
"..$67,500 to $69,999",739,47,36,55
"..$70,000 to $72,499",1715,163,125,206
"..$72,500 to $74,999",697,46,37,62
"..$75,000 to $77,499",1435,127,117,160
"..$77,500 to $79,999",605,45,44,74
"..$80,000 to $82,499",1419,141,145,198
"..$82,500 to $84,999",528,66,24,59
"..$85,000 to $87,499",792,88,72,82
"..$87,500 to $89,999",427,33,27,33
"..$90,000 to $92,499",1041,100,104,102
"..$92,500 to $94,999",373,38,29,31
"..$95,000 to $97,499",533,49,38,43
"..$97,500 to $99,999",394,49,29,29
"..$100,000 to $149,999",6837,453,695,544
"..$150,000 to $199,999",2675,121,228,158
"..$200,000 to $249,999",1105,49,77,60
"..$250,000 and above",1503,79,148,81
